manager,title,type,fund_name,fund_code,period,publish_date,source_name,url,collected_date,status,notes
刘旭,刘旭基金经理档案,基金经理简介/基金列表,,,,动态更新,天天基金基金经理页,https://fundf10.eastmoney.com/jjjl_000628.html,2026-07-11,已摘录,用于profile.md；含履历、任职基金、基金经理信息
刘旭,大成高鑫股票A基金概况,基金概况,大成高鑫股票A,000628,动态更新,动态更新,天天基金,https://fund.eastmoney.com/000628.html,2026-07-11,待摘录,核心代表基金；后续收持仓和公告
刘旭,大成高鑫股票A基金经理页,基金经理简介,大成高鑫股票A,000628,动态更新,动态更新,天天基金基金档案,https://fundf10.eastmoney.com/jjjl_000628.html,2026-07-11,已摘录,用于确认刘旭履历和任职信息
刘旭,大成高鑫股票A持仓明细,调仓/持仓数据,大成高鑫股票A,000628,2023-2026,动态更新,天天基金基金档案,https://fundf10.eastmoney.com/ccmx_000628.html,2026-07-11,待整理,用于近4季前十大重仓股
刘旭,大成高鑫股票A基金公告,基金定期报告,大成高鑫股票A,000628,2023-2026,动态更新,天天基金基金公告,https://fundf10.eastmoney.com/jjgg_000628_3.html,2026-07-11,待下载PDF,重点下载季报/中报/年报
刘旭,大成优势企业混合A基金概况,基金概况,大成优势企业混合A,008271,动态更新,动态更新,天天基金,https://fund.eastmoney.com/008271.html,2026-07-11,待摘录,第二代表基金；用于对比000628
刘旭,大成优势企业混合A基金经理页,基金经理简介,大成优势企业混合A,008271,动态更新,动态更新,天天基金基金档案,https://fundf10.eastmoney.com/jjjl_008271.html,2026-07-11,待摘录,用于交叉验证刘旭任职信息
刘旭,大成优势企业混合A持仓明细,调仓/持仓数据,大成优势企业混合A,008271,2023-2026,动态更新,天天基金基金档案,https://fundf10.eastmoney.com/ccmx_008271.html,2026-07-11,待整理,用于近4季前十大重仓股
刘旭,大成优势企业混合A基金公告,基金定期报告,大成优势企业混合A,008271,2023-2026,动态更新,天天基金基金公告,https://fundf10.eastmoney.com/jjgg_008271_3.html,2026-07-11,待下载PDF,重点下载季报/中报/年报
刘旭,大成核心价值甄选混合A基金概况,基金概况,大成核心价值甄选混合A,010929,动态更新,动态更新,天天基金,https://fund.eastmoney.com/010929.html,2026-07-11,待摘录,补充代表基金；时间够再做
刘旭,大成高新技术产业股票型证券投资基金2024年年度报告,基金定期报告,大成高新技术产业股票A,000628,2024Y,2025-03-31,基金定期报告PDF,待补充原始URL,2026-07-11,已下载,用于corpus和fund_data；基金后更名为大成高鑫股票
刘旭,大成高鑫股票型证券投资基金2025年第1季度报告,基金定期报告,大成高鑫股票A,000628,2025Q1,2025-04-22,基金定期报告PDF,待补充原始URL,2026-07-11,已下载,用于corpus和fund_data
刘旭,大成高鑫股票型证券投资基金2025年第2季度报告,基金定期报告,大成高鑫股票A,000628,2025Q2,2025-07-21,基金定期报告PDF,待补充原始URL,2026-07-11,已下载,用于corpus和fund_data
刘旭,大成高鑫股票型证券投资基金2025年第3季度报告,基金定期报告,大成高鑫股票A,000628,2025Q3,2025-10-28,基金定期报告PDF,待补充原始URL,2026-07-11,已下载,用于corpus和fund_data
刘旭,大成高鑫股票型证券投资基金2025年第4季度报告,基金定期报告,大成高鑫股票A,000628,2025Q4,2026-01-22,基金定期报告PDF,待补充原始URL,2026-07-11,已下载,用于corpus和fund_data
刘旭,大成高鑫股票型证券投资基金2025年年度报告,基金定期报告,大成高鑫股票A,000628,2025Y,2026-03-31,基金定期报告PDF,待补充原始URL,2026-07-11,已下载,用于corpus和fund_data
